,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
131,Danilo Gallinari,DEFENSIVE_REBOUND,None,1.8,2,Clippers,Grizzlies,46 - 61,1,N/A,N/A,N/A
132,End of,Unknown,None,0.0,2,Clippers,Grizzlies,46 - 61,1,N/A,N/A,N/A
0,Ivica Zubac,SUBSTITUTION,Harrell Montrezl,12:00,3,Clippers,Grizzlies,46 - 61,1,N/A,N/A,N/A
1,Shai Gilgeous-Alexander,SUBSTITUTION,Williams Lou,12:00,3,Clippers,Grizzlies,46 - 61,1,N/A,N/A,N/A
2,Bruno Caboclo,SUBSTITUTION,Washburn Julian,12:00,3,Grizzlies,Clippers,46 - 61,0,N/A,N/A,N/A
3,Bruno Caboclo,TURNOVER,Shai Gilgeous-Alexander,11:46,3,Grizzlies,Clippers,46 - 61,0,N/A,N/A,N/A
4,Danilo Gallinari,FG_ASSISTED,Shai Gilgeous-Alexander,11:42,3,Clippers,Grizzlies,46 - 63,1,0,2,Dunk
5,Justin Holiday,TURNOVER,Ivica Zubac,11:19,3,Grizzlies,Clippers,46 - 63,0,N/A,N/A,N/A
6,Ivica Zubac,FG_ASSISTED,Landry Shamet,11:14,3,Clippers,Grizzlies,46 - 65,1,0,2,Dunk
7,Jonas Valanciunas,TURNOVER,Shai Gilgeous-Alexander,10:53,3,Grizzlies,Clippers,46 - 65,0,N/A,N/A,N/A
8,Patrick Beverley,FG_ASSISTED,Danilo Gallinari,10:48,3,Clippers,Grizzlies,46 - 68,1,25,3,Jumper
9,Team,Unknown,None,10:47,3,Grizzlies,Clippers,46 - 68,0,N/A,N/A,N/A
10,Jonas Valanciunas,FG_MISS,None,10:24,3,Grizzlies,Clippers,46 - 68,0,2,3,Jumper
11,Danilo Gallinari,DEFENSIVE_REBOUND,None,10:22,3,Clippers,Grizzlies,46 - 68,1,N/A,N/A,N/A
12,Shai Gilgeous-Alexander,FG_MISS,Delon Wright,10:16,3,Grizzlies,Clippers,46 - 68,1,0,2,Layup
13,Shai Gilgeous-Alexander,OFFENSIVE_REBOUND,None,10:13,3,Clippers,Grizzlies,46 - 68,1,N/A,N/A,N/A
14,Patrick Beverley,FG_MISS,None,10:06,3,Clippers,Grizzlies,46 - 68,1,26,3,Jumper
