,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
24,Joel Embiid's,FG_MISS,Al Horford,9:32,1,Celtics,76ers,2 - 0,0,-,3,Jumper
25,Team,DEFENSIVE_REBOUND,None,9:32,1,Celtics,76ers,2 - 0,1,N/A,N/A,N/A
26,Jayson Tatum,FG_ASSISTED,Kyrie Irving,9:19,1,Celtics,76ers,2 - 2,1,15,3,Jumper
27,Jaylen Brown,FOUL_ON_FLOOR,None,9:09,1,Celtics,76ers,2 - 2,1,N/A,N/A,N/A
28,Markelle Fultz,FG_MISS,None,9:01,1,76ers,Celtics,2 - 2,0,17,3,Jumper
29,Ben Simmons,OFFENSIVE_REBOUND,None,8:56,1,76ers,Celtics,2 - 2,0,N/A,N/A,N/A
30,Dario Saric,FG_ASSISTED,Ben Simmons,8:53,1,76ers,Celtics,4 - 2,0,0,2,Layup
31,Kyrie Irving,FG_MISS,None,8:34,1,Celtics,76ers,4 - 2,1,18,3,Jumper
32,Jayson Tatum,OFFENSIVE_REBOUND,None,8:32,1,Celtics,76ers,4 - 2,1,N/A,N/A,N/A
33,Jaylen Brown,FG_ASSISTED,Jayson Tatum,8:28,1,Celtics,76ers,4 - 4,1,13,3,Jumper
34,Dario Saric,FG_UNASSISTED,None,8:15,1,76ers,Celtics,6 - 4,0,0,2,Layup
35,Dario Saric,FOUL_ON_FLOOR,None,8:07,1,76ers,Celtics,6 - 4,0,N/A,N/A,N/A
36,Al Horford,FG_MISS,None,7:56,1,Celtics,76ers,6 - 4,1,8,3,Jumper
37,Markelle Fultz,DEFENSIVE_REBOUND,None,7:51,1,76ers,Celtics,6 - 4,0,N/A,N/A,N/A
38,Joel Embiid,FG_UNASSISTED,None,7:41,1,76ers,Celtics,8 - 4,0,14,3,Jumper
