,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
69,Tony Parker,SUBSTITUTION,Walker Kemba,3:01,1,Hornets,Knicks,18 - 21,1,N/A,N/A,N/A
70,Allonzo Trier,SUBSTITUTION,Burke Trey,3:01,1,Knicks,Hornets,18 - 21,0,N/A,N/A,N/A
71,Mitchell Robinson,SUBSTITUTION,Vonleh Noah,3:01,1,Knicks,Hornets,18 - 21,0,N/A,N/A,N/A
72,Michael Kidd-Gilchrist,FG_MISS,None,2:50,1,Hornets,Knicks,18 - 21,1,0,2,Layup
73,Jeremy Lamb,OFFENSIVE_REBOUND,None,2:47,1,Hornets,Knicks,18 - 21,1,N/A,N/A,N/A
74,Jeremy Lamb,FG_UNASSISTED,None,2:47,1,Hornets,Knicks,18 - 23,1, ,2,Jumper
75,Michael Kidd-Gilchrist,FOUL_ON_FLOOR,None,2:37,1,Hornets,Knicks,18 - 23,1,N/A,N/A,N/A
76,Team,Unknown,None,2:37,1,Knicks,Hornets,18 - 23,0,N/A,N/A,N/A
77,Miles Bridges,SUBSTITUTION,Lamb Jeremy,2:37,1,Hornets,Knicks,18 - 23,1,N/A,N/A,N/A
78,Mitchell Robinson,FT_MISS,None,2:37,1,Knicks,Hornets,18 - 23,0,N/A,1,N/A
79,Team,OFFENSIVE_REBOUND,None,2:37,1,Knicks,Hornets,18 - 23,0,N/A,N/A,N/A
80,Mitchell Robinson,FT,None,2:37,1,Knicks,Hornets,19 - 23,0,N/A,1,N/A
81,Willy Hernangomez,FG_MISS,None,2:14,1,Hornets,Knicks,19 - 23,1,26,3,Jumper
82,Michael Kidd-Gilchrist,OFFENSIVE_REBOUND,None,2:13,1,Hornets,Knicks,19 - 23,1,N/A,N/A,N/A
83,Michael Kidd-Gilchrist,FG_UNASSISTED,None,2:12,1,Hornets,Knicks,19 - 25,1, ,2,Jumper
84,Willy Hernangomez,FOUL_TECHNICAL,None,2:00,1,Hornets,Knicks,19 - 25,1,N/A,N/A,N/A
